정류장 고유번호,정류장 명,위도,경도
53019,온빛초등학교,36.5142997,127.2394674
53020,온빛초등학교,36.5140109,127.239312
53021,"가락마을17,18단지",36.5197921,127.2346313
53022,"가락마을17,18단지",36.5195051,127.2347603
53023,두루고등학교,36.5173734,127.2311308
53024,두루고등학교,36.5172342,127.2313602
53025,"가락마을10,13단지",36.5134794,127.2293797
53026,"가락마을10,13단지",36.513498,127.2296588
53027,"가락마을9,11단지",36.5106813,127.229892
53028,"가락마을9,11단지",36.5105636,127.2296299
53029,으뜸초등학교,36.5071605,127.2317021
53030,으뜸초등학교,36.5070383,127.231468
53031,고운동커뮤니티센터남측,36.5042791,127.2352687
53032,고운동커뮤니티센터남측,36.5043276,127.2347772
53033,가재마을7단지,36.5049528,127.248745
35091,"가락마을16,20단지",36.5156107,127.2391559
53046,"가락마을16,20단지",36.5155932,127.2394128
53047,"시립도서관,대법원등기정보센터",36.5114233,127.2412918
53048,"시립도서관,대법원등기정보센터",36.511388,127.241627
53049,"가락마을7,8단지",36.5051871,127.240274
57011,"법원.검찰청,경찰청",36.4869234,127.3019122
57012,"법원.검찰청,경찰청",36.4870803,127.3013703
57013,국책연구단지남측,36.4910378,127.3040175
57014,국책연구단지남측,36.492314,127.3043101
11097,번암아파트후문,36.5876866,127.2920412
51102,"호려울마을8,9단지",36.4796473,127.2960085
51103,"호려울마을8,9단지",36.4797747,127.296745
51104,"새샘마을1,2단지",36.4807836,127.298936
51105,"새샘마을1,2단지",36.480853,127.299974
31066,방공학교,36.5518391,127.2780081
51107,보람동.대평동,36.4749413,127.2807336
51108,보람동(해들마을),36.4746524,127.2805
51109,보람동(호려울마을),36.4757635,127.2817304
51110,보람동.대평동,36.4756055,127.2816359
51111,"시청,시의회,교육청,세무서",36.478356,127.288188
51112,"시청,시의회,교육청,세무서",36.478674,127.288769
51113,글벗중학교(새샘마을9단지),36.4906457,127.2986202
51114,글벗중학교(새샘마을9단지),36.4898882,127.2984603
51115,소담동 새샘마을,36.4824576,127.2972683
51116,소담동(새샘마을),36.4823772,127.2977039
51117,소담동 새샘마을,36.4826387,127.2977367
51118,소담동(새샘마을),36.4827102,127.2973234
51119,KDI(한국개발연구원),36.4808749,127.3078442
51120,한국개발연구원(KDI),36.4809787,127.3078831
11098,세무서 출장민원실,36.6059319,127.2939937
34112,성덕교차로,36.4606374,127.2776489
34113,성덕교차로,36.4607591,127.2776151
33056,부용농공단지,36.4922149,127.3624753
33057,부용농공단지,36.4923814,127.3622573
57015,세종고속시외버스터미널,36.4684658,127.2750069
57016,세종고속시외버스터미널,36.4682311,127.2748401
52055,세종소방서,36.5061458,127.2723231
51100,"세종우체국(남부서,보람초)",36.4802554,127.2931435
51101,"세종우체국(남부서,보람초)",36.4805387,127.2927688
31065,은하수공원,36.5326753,127.2453565
53050,"가락마을20,21단지",36.5175074,127.2407913
53051,"가락마을20,21단지",36.5172956,127.240792
32084,예양2리,36.5809703,127.3172654
32085,노송1리,36.5668063,127.3304159
35082,장군면복지회관,36.4991636,127.2080709
35083,장군면복지회관,36.4990494,127.2081953
35084,평기리,36.5230569,127.1992142
35085,평기리,36.5230746,127.1990689
35086,송학리입구,36.5356909,127.1932746
51106,다정동(장기로),36.4998106,127.2345693
35087,대전공원묘역입구,36.4531706,127.2246903
35088,대전공원묘역입구,36.452883,127.2250763
