id,title,release_date,popularity
41264,아듀 아프리카,1966-02-11,16.0176
348893,보이카: 언디스퓨티드 파이널,2016-08-01,12.1427
533533,트론: 아레스,2025-10-08,11.9104
1338799,劇場版総集編 呪術廻戦 懐玉・玉折,2025-05-30,12.6609
1329336,배드 가이즈: 오싹한 핼러윈,2024-10-02,12.9807
857,라이언 일병 구하기,1998-07-24,13.0232
204082,홈프론트: 가족을 지켜라,2013-11-12,11.5582
1196470,서바이브,2024-06-19,12.6567
1337397,Pilya,2024-09-20,11.2002
1484262,난장판이 된 사건사고: 아메리칸 어패럴의 몰락,2025-06-30,12.6835
345940,메가로돈,2018-08-09,11.8702
926393,더 이퀄라이저 3,2023-08-30,11.9293
276126,젊은 엄마 2,2014-05-29,12.4329
333339,레디 플레이어 원,2018-03-28,10.4445
755679,분노의 질주 10: 파트 2,,12.6021
1106194,Een schitterend gebrek,2024-09-12,10.5408
505642,블랙 팬서: 와칸다 포에버,2022-11-09,11.6237
3933,유령 신부,2005-09-12,13.0806
1252745,Azul de niño,2025-03-05,9.0882
1229730,카재커,2025-03-27,12.6592
302946,어카운턴트,2016-10-13,13.4788
14161,2012,2009-10-10,13.3814
746036,스턴트맨,2024-04-24,13.3085
454626,수퍼 소닉,2020-02-12,12.5324
272,배트맨 비긴즈,2005-06-10,13.3089
398818,콜 미 바이 유어 네임,2017-07-28,10.9095
41513,개구쟁이 스머프,2011-07-29,12.8143
2105,아메리칸 파이,1999-07-09,12.0785
993710,백 인 액션,2025-01-15,12.4125
19173,S 중독자의 고백,2008-10-17,11.8744
68718,장고: 분노의 추적자,2012-12-25,12.8212
85,인디아나 존스: 레이더스,1981-06-12,13.1092
1124,프레스티지,2006-10-17,12.7128
11688,쿠스코? 쿠스코!,2000-12-15,10.5793
24,킬 빌: 1부,2003-10-10,10.9079
9603,클루리스,1995-07-19,9.1224
1303162,일하는 세포,2024-12-13,11.6194
68726,퍼시픽 림,2013-07-11,12.0467
1249213,드롭,2025-04-10,10.9729
22705,모넬라 2,2000-01-28,12.4282
851644,20세기 소녀,2022-10-06,11.8176
337404,크루엘라,2021-05-26,11.4078
48650,룸 인 로마,2010-05-07,11.3131
260346,테이큰 3,2014-12-16,13.4275
9358,데스티네이션 2,2003-01-31,11.9481
1272149,브리짓 존스의 일기: 뉴 챕터,2025-02-12,11.3281
301528,토이 스토리 4,2019-06-19,10.9543
1139695,酱园弄·悬案,2025-06-14,11.9361
150689,신데렐라,2015-03-06,10.8856
460229,키스 앤 킬,2017-08-08,12.6134
1244944,더 우먼 인 더 야드,2025-03-27,11.737
427641,램페이지,2018-04-11,10.1305
1064028,메이드,2024-08-15,11.7619
810,슈렉 3,2007-05-17,10.0266
109418,다 큰 녀석들 2,2013-07-11,14.0996
18240,프로포즈,2009-06-02,10.9257
1495,킹덤 오브 헤븐,2005-05-03,11.8996
1127166,눈물을 만드는 사람,2024-04-03,11.6385
930094,"빨강, 파랑, 어쨌든 찬란",2023-07-27,12.1788
